,OP134_C1_20230609-150121.spc
407,21469.3671875
408,21401.5234375
409,21338.755859375
410,21281.791015625
411,21234.41015625
412,21200.5078125
413,21180.109375
414,21167.892578125
415,21155.630859375
416,21136.6015625
417,21108.5625
418,21073.330078125
419,21033.76953125
420,20991.052734375
421,20944.392578125
422,20893.13671875
423,20839.103515625
424,20787.00390625
425,20742.58984375
426,20709.92578125
427,20689.576171875
428,20678.529296875
429,20671.35546875
430,20661.80078125
431,20644.59375
432,20617.509765625
433,20583.189453125
434,20549.408203125
435,20526.326171875
436,20521.19921875
437,20533.314453125
438,20552.6953125
439,20564.34765625
440,20556.01953125
441,20524.716796875
442,20477.59765625
443,20426.974609375
444,20382.818359375
445,20347.798828125
446,20317.568359375
447,20284.87890625
448,20243.974609375
449,20192.484375
450,20130.93359375
451,20061.83984375
452,19989.87109375
453,19922.1484375
454,19866.751953125
455,19828.775390625
456,19806.205078125
457,19789.4296875
458,19766.08203125
459,19728.787109375
460,19680.27734375
461,19631.724609375
462,19594.705078125
463,19572.4609375
464,19556.978515625
465,19534.119140625
466,19493.373046875
467,19435.29296875
468,19371.400390625
469,19317.013671875
470,19282.154296875
471,19266.544921875
472,19261.201171875
473,19254.66015625
474,19239.20703125
475,19213.556640625
476,19181.701171875
477,19149.7109375
478,19122.849609375
479,19103.94921875
480,19092.705078125
481,19085.533203125
482,19076.3359375
483,19058.724609375
484,19029.453125
485,18991.337890625
486,18953.244140625
487,18926.2578125
488,18917.484375
489,18925.12890625
490,18938.486328125
491,18943.443359375
492,18930.6328125
493,18901.1171875
494,18865.638671875
495,18837.451171875
496,18823.193359375
497,18817.857421875
498,18807.455078125
499,18778.169921875
500,18726.158203125
501,18661.3828125
502,18602.92578125
503,18568.302734375
504,18563.517578125
505,18580.154296875
506,18600.95703125
507,18610.37890625
508,18603.490234375
509,18588.01953125
510,18578.833984375
511,18588.73828125
512,18621.232421875
513,18669.171875
514,18719.48828125
515,18760.2734375
516,18785.767578125
517,18796.611328125
518,18796.0859375
519,18785.841796875
520,18764.623046875
521,18730.955078125
522,18687.658203125
523,18644.4140625
524,18615.734375
525,18614.94921875
526,18647.478515625
527,18707.15234375
528,18777.494140625
529,18837.236328125
530,18867.501953125
531,18858.171875
532,18811.517578125
533,18741.8125
534,18670.525390625
535,18617.716796875
536,18592.70703125
537,18588.85546875
538,18585.955078125
539,18560.509765625
540,18498.69921875
541,18404.537109375
542,18298.54296875
543,18207.322265625
544,18150.564453125
545,18132.87109375
546,18144.140625
547,18167.220703125
548,18187.376953125
549,18198.365234375
550,18202.763671875
551,18207.572265625
552,18218.25390625
553,18234.716796875
554,18251.203125
555,18259.970703125
556,18256.341796875
557,18241.791015625
558,18222.994140625
559,18207.775390625
560,18201.189453125
561,18204.912109375
562,18220.048828125
563,18250.18359375
564,18301.2578125
565,18378.111328125
566,18481.2578125
567,18607.90625
568,18757.431640625
569,18936.845703125
570,19161.23046875
571,19448.85546875
572,19815.92578125
573,20276.451171875
574,20846.666015625
575,21546.09375
576,22386.69140625
577,23350.00390625
578,24365.408203125
579,25306.203125
580,26015.15625
581,26351.708984375
582,26239.677734375
583,25693.396484375
584,24809.05078125
585,23730.142578125
586,22603.5390625
587,21545.3828125
588,20626.404296875
589,19873.837890625
590,19283.251953125
591,18831.23828125
592,18485.837890625
593,18214.05078125
594,17987.88671875
595,17789.43359375
596,17613.470703125
597,17465.908203125
598,17357.119140625
599,17292.59375
600,17265.708984375
601,17257.083984375
602,17241.998046875
603,17201.837890625
604,17132.814453125
605,17047.00390625
606,16965.208984375
607,16906.611328125
608,16881.005859375
609,16886.4140625
610,16911.427734375
611,16939.234375
612,16951.9765625
613,16935.515625
614,16884.689453125
615,16807.279296875
616,16723.1640625
